date,NO_MUNICIPIO,DS_ATIVIDADE_PROFISSIONAL,POPULACAO_MENSAL,GROWTH_PCT,lag1,rolling3,time_index,PROFISSIONAIS_POR_1000
2025-04-01,QUELUZ,MEDICO GINECOLOGISTA E OBSTETRA,90740.0,0.0,0.0110204981265153,0.0110204981265153,21,0.0110204981265153
2025-06-01,QUELUZ,MEDICO GINECOLOGISTA E OBSTETRA,90740.0,0.0,0.0110204981265153,0.0110204981265153,22,0.0110204981265153
2025-07-01,QUELUZ,MEDICO GINECOLOGISTA E OBSTETRA,90740.0,0.0,0.0110204981265153,0.0110204981265153,23,0.0110204981265153
2025-07-01,QUELUZ,MEDICO NEUROLOGISTA,90740.0,0.0,0.0110204981265153,0.0110204981265153,3,0.0110204981265153
2025-04-01,QUELUZ,MEDICO OFTALMOLOGISTA,90740.0,0.0,0.0110204981265153,0.0110204981265153,21,0.0110204981265153
2025-06-01,QUELUZ,MEDICO OFTALMOLOGISTA,90740.0,0.0,0.0110204981265153,0.0110204981265153,22,0.0110204981265153
2025-07-01,QUELUZ,MEDICO OFTALMOLOGISTA,90740.0,0.0,0.0110204981265153,0.0110204981265153,23,0.0110204981265153
2025-04-01,QUELUZ,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,90740.0,0.0,0.0110204981265153,0.0110204981265153,21,0.0110204981265153
2025-06-01,QUELUZ,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,90740.0,0.0,0.0110204981265153,0.0110204981265153,22,0.0110204981265153
2025-07-01,QUELUZ,MEDICO ORTOPEDISTA E TRAUMATOLOGISTA,90740.0,0.0,0.0110204981265153,0.0110204981265153,23,0.0110204981265153
2025-04-01,QUELUZ,MEDICO PEDIATRA,90740.0,0.0,0.0220409962530306,0.0220409962530306,21,0.0220409962530306
2025-06-01,QUELUZ,MEDICO PEDIATRA,90740.0,0.0,0.0220409962530306,0.0220409962530306,22,0.0220409962530306
2025-07-01,QUELUZ,MEDICO PEDIATRA,90740.0,0.0,0.0220409962530306,0.0220409962530306,23,0.0220409962530306
2025-04-01,QUELUZ,MEDICO PSIQUIATRA,90740.0,0.0,0.0110204981265153,0.0110204981265153,21,0.0110204981265153
2025-06-01,QUELUZ,MEDICO PSIQUIATRA,90740.0,0.0,0.0110204981265153,0.0110204981265153,22,0.0110204981265153
2025-07-01,QUELUZ,MEDICO PSIQUIATRA,90740.0,0.0,0.0110204981265153,0.0110204981265153,23,0.0110204981265153
